,molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,MW,LogP,NumHDonors,NumHAcceptors,pIC50
5873,CHEMBL4453954,Cc1cc(C)c(S(=O)(=O)Nc2ccc(C3C4=C(CC(C)(C)CC4=O)N(c4ccc(Br)cc4)C4=C3C(=O)CC(C)(C)C4)cc2)c(C)c1,active,140.0,451.56300000000033,4.4620400000000044,1.0,6.0,6.853871964321762
5874,CHEMBL4450045,Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(CO)c4)CC3)cc2oc1=O,intermediate,1400.0,345.4390000000001,2.883040000000001,1.0,5.0,5.853871964321762
5875,CHEMBL4470448,Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(OCCCO)c4)CC3)cc2oc1=O,active,840.0,452.5070000000003,4.409140000000003,0.0,7.0,6.075720713938118
5876,CHEMBL4464759,Cc1c(C)c2ccc(OCC3CCN(CCCO)CC3)cc2oc1=O,active,890.0,390.43600000000015,3.0990400000000013,0.0,7.0,6.050609993355087
5877,CHEMBL4459482,Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(CO[N+](=O)[O-])c4)CC3)cc2oc1=O,intermediate,1300.0,496.5600000000004,4.678040000000005,0.0,8.0,5.886056647693163
5878,CHEMBL4530960,Cc1c(C)c2ccc(OCC3CCN(CCCO[N+](=O)[O-])CC3)cc2oc1=O,active,860.0,353.5100000000001,3.4981000000000027,0.0,4.0,6.0655015487564325
5879,CHEMBL4578377,Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(OCCCO[N+](=O)[O-])c4)CC3)cc2oc1=O,active,480.0,379.50000000000017,4.361100000000004,0.0,4.0,6.318758762624412
5880,CHEMBL4173258,C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C,active,530.0,416.99300000000005,6.085100000000007,1.0,3.0,6.275724130399211
5881,CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,active,6.0,483.12800000000027,6.250200000000007,1.0,3.0,8.221848749616356
5882,CHEMBL4537101,COc1c(C(=O)CCC2CCN(CC3CCCCC3)CC2)cc(Cl)c2[nH]ccc12,active,91.4,410.94500000000016,5.705000000000005,1.0,3.0,7.039053804266168
5883,CHEMBL4540355,COc1c(C(=O)CCC2CCN(Cc3ccccc3)CC2)cc(Cl)c2[nH]c([Si](C)(C)C)cc12,active,275.0,386.967,6.0765000000000065,1.0,2.0,6.560667306169737
5884,CHEMBL4526050,COc1c(C(=O)CCC2CCN(Cc3ccccc3)CC2)cc(Cl)c2[nH]ccc12,active,20.4,346.47400000000005,5.043000000000005,1.0,2.0,7.690369832574101
5885,CHEMBL4444843,O=C(CCC1CCN(CC2CCCCC2)CC1)c1cc(Cl)c2[nH]ccc2c1,active,28.8,352.522,5.423100000000005,1.0,2.0,7.540607512240769
5886,CHEMBL4585990,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2[nH]ccc2c1,active,13.3,338.495,5.033000000000005,1.0,2.0,7.876148359032914
5887,CHEMBL4529710,O=C(CCC1CCN(CC2CCCCC2)CC1)c1ccc2[nH]ccc2c1,active,51.0,312.4570000000001,4.642900000000004,1.0,2.0,7.292429823902063
5888,CHEMBL4562793,O=C(CCC1CCN(CC2CCCC2)CC1)c1ccc2[nH]ccc2c1,active,94.0,382.54800000000006,5.4317000000000055,1.0,3.0,7.026872146400302
5889,CHEMBL4567394,CCCCN1CCC(CCC(=O)c2ccc3[nH]ccc3c2)CC1,active,716.0,431.0200000000001,6.0955000000000075,0.0,4.0,6.145086977692144
5890,CHEMBL4454706,COc1c(C(=O)CCC2CCN(CC3CCCCC3)CC2)ccc2[nH]ccc12,active,40.0,507.11800000000017,7.6068000000000096,0.0,4.0,7.3979400086720375
5891,CHEMBL4559904,COc1c(C(=O)CCC2CCN(CC3CCCCC3)CC2)cc(Cl)c2c1ccn2C,active,84.4,673.2280000000003,6.507300000000007,2.0,8.0,7.073657553374344
5892,CHEMBL4541090,COc1c(C(=O)CCC2CCN(CC3CCCCC3)CC2)cc(Cl)c2c1ccn2Cc1ccccc1,active,260.6,442.6470000000001,6.944800000000008,0.0,3.0,6.584025588623434
